,X,Y,condition,genotype,sex,replicate
56,78,0.9502551020408163,cont,mhc,m,7
57,264,0.8826530612244898,cont,mhc,m,7
58,268,0.840561224489796,cont,mhc,m,7
59,69,0.9107142857142857,cont,mhc,m,7
60,207,0.8443877551020408,cont,mhc,m,7
61,249,0.8801020408163265,cont,mhc,m,7
62,78,0.923469387755102,cont,mhc,m,7
63,193,0.9285714285714286,cont,mhc,m,7
0,188,0.49362244897959184,cont,mhc,m,6
1,126,0.6568877551020409,cont,mhc,m,6
2,155,0.23469387755102045,cont,mhc,m,6
3,161,0.909438775510204,cont,mhc,m,6
4,232,0.6377551020408163,cont,mhc,m,6
5,40,0.8596938775510204,cont,mhc,m,6
6,215,0.7487244897959184,cont,mhc,m,6
7,147,0.6568877551020409,cont,mhc,m,6
8,138,0.4897959183673469,cont,mhc,m,6
9,220,0.7869897959183674,cont,mhc,m,6
10,150,0.7487244897959184,cont,mhc,m,6
11,200,0.7742346938775511,cont,mhc,m,6
12,206,0.7959183673469388,cont,mhc,m,6
13,124,0.6823979591836735,cont,mhc,m,6
14,253,0.7091836734693877,cont,mhc,m,6
15,159,0.7257653061224489,cont,mhc,m,6
16,78,0.7895408163265306,cont,mhc,m,6
17,223,0.7920918367346939,cont,mhc,m,6
18,77,0.8073979591836735,cont,mhc,m,6
19,62,0.8456632653061225,cont,mhc,m,6
20,131,0.8788265306122449,cont,mhc,m,6
21,167,0.8660714285714286,cont,mhc,m,6
22,233,0.8303571428571428,cont,mhc,m,6
23,170,0.8354591836734694,cont,mhc,m,6
24,272,0.7423469387755102,cont,mhc,m,6
25,125,0.7602040816326531,cont,mhc,m,6
26,119,0.6913265306122449,cont,mhc,m,6
27,83,0.7831632653061225,cont,mhc,m,6
28,280,0.8150510204081632,cont,mhc,m,6
29,211,0.7436224489795918,cont,mhc,m,6
30,111,0.8316326530612245,cont,mhc,m,6
31,131,0.889030612244898,cont,mhc,m,6
32,33,0.8380102040816326,cont,mhc,m,6
